rank,score_f,alltime_score_%,price_f,mileage_f,source,year,model,version,drivetrain,color,distance_f,score_adjustments,estimated_value,listing_discount,days_detected,active_sources,vin,link_0,link_1,link_2,link_3
88,19.1k,56.3,$16.0k,"32,245",autolist,2016,grand_cherokee,Latitude,,,,{},,,9,['autolist'],ZACCJBBT9GPD73720,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJBBT9GPD73720,,,
89,19.1k,57.4,$16.0k,"33,537",autolist,2017,grand_cherokee,Latitude,,,,{},,,34,['autolist'],ZACCJABB2HPG31434,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJABB2HPG31434,,,
90,19.1k,57.6,$16.0k,"33,789",autolist,2018,grand_cherokee,Latitude,,,,{},,,5,['autolist'],ZACCJABB8JPH71140,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJABB8JPH71140,,,
91,19.2k,59.5,$16.0k,"36,757",autolist,2016,grand_cherokee,Latitude,,,,{},,,3,['autolist'],1C4NJDEB3GD746370,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJDEB3GD746370,,,
92,19.2k,59.7,$15.9k,"39,244",autolist,2015,grand_cherokee,Latitude,,,,{},,,10,['autolist'],ZACCJBBTXFPB90910,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJBBTXFPB90910,,,
93,19.3k,60.8,$16.0k,"38,271",autolist,2016,grand_cherokee,Sport,,,,{},,,1,['autolist'],1C4NJDBBXGD500808,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJDBBXGD500808,,,
94,19.3k,62.3,$16.0k,"40,327",autolist,2015,grand_cherokee,Latitude,,,,{},,,1,['autolist'],1C4PJLCB3FW765977,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLCB3FW765977,,,
95,19.3k,62.5,$15.9k,"44,079",autolist,2018,grand_cherokee,Latitude,,,,{},,,4,"['auto_trader', 'autolist']",3C4NJCBB0JT322421,https://www.autolist.com/jeep-grand+cherokee#vin=3C4NJCBB0JT322421,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB0JT322421,,
96,19.4k,62.9,$16.0k,"41,621",autolist,2017,grand_cherokee,Sport,,,,{},,,9,['autolist'],1C4PJLAB8HW640849,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLAB8HW640849,,,
97,19.4k,63.2,$17.0k,"11,516",autolist,2018,grand_cherokee,Latitude,,,,{},,,9,['autolist'],ZACCJABHXJPH92513,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJABHXJPH92513,,,
