rank,score_f,alltime_score_%,price_f,mileage_f,source,year,model,version,drivetrain,color,distance_f,score_adjustments,estimated_value,listing_discount,days_detected,active_sources,vin,link_0,link_1,link_2,link_3
64,18.6k,53.6,$17.0k,"28,182",edmunds,2018,compass,Latitude,fwd,silver,1501,{},18476,8%,15,"['autolist', 'edmunds']",3C4NJCBB1JT108733,https://www.autolist.com/jeep-compass#vin=3C4NJCBB1JT108733,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB1JT108733/,,
65,18.7k,55.3,$17.0k,"36,866",edmunds,2018,compass,Sport,fwd,black,2107,{},14491,-17%,3,['edmunds'],3C4NJCAB4JT359134,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCAB4JT359134/,,,
66,18.8k,57.0,$17.0k,"20,618",edmunds,2018,compass,Latitude,fwd,silver,2102,{},18202,7%,3,['edmunds'],3C4NJCBB6JT287030,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB6JT287030/,,,
67,18.8k,57.8,$17.0k,"40,801",edmunds,2018,compass,Latitude,fwd,white,1384,{},,,1,['edmunds'],3C4NJCBB5JT265567,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB5JT265567/,,,
68,18.8k,58.1,$17.0k,"28,128",edmunds,2018,compass,Latitude,fwd,silver,1813,{},,,1,['edmunds'],3C4NJCBB3JT137487,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB3JT137487/,,,
69,18.9k,59.0,$17.0k,"22,669",edmunds,2018,compass,Latitude,fwd,gray,2473,{},,,1,['edmunds'],3C4NJCBB7JT344383,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB7JT344383/,,,
70,18.9k,60.1,$17.0k,"27,162",edmunds,2018,compass,Sport,fwd,black,2122,{},16998,0%,32,"['autolist', 'edmunds']",3C4NJCAB2JT124120,https://www.autolist.com/jeep-compass#vin=3C4NJCAB2JT124120,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCAB2JT124120/,,
71,19.2k,65.5,$17.0k,"30,251",edmunds,2018,compass,Latitude,fwd,black,2415,{},,,0,['edmunds'],3C4NJCBB1JT194965,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB1JT194965/,,,
72,19.4k,68.7,$17.0k,"48,069",edmunds,2018,compass,Latitude,fwd,black,1855,{},16652,-2%,16,['edmunds'],3C4NJCBB5JT205062,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB5JT205062/,,,
73,19.6k,73.2,$16.0k,"47,164",edmunds,2011,grand_cherokee,Laredo,,,,{},,,0,['edmunds'],1J4RS4GG5BC659876,https://www.edmunds.com/jeep/grand-cherokee/2011/vin/1J4RS4GG5BC659876/,,,
74,19.7k,76.9,$17.0k,"41,021",edmunds,2018,compass,Sport,fwd,silver,2431,{},14407,-18%,4,['edmunds'],3C4NJCAB2JT105695,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCAB2JT105695/,,,
75,19.8k,79.5,$17.0k,"36,828",edmunds,2018,compass,Sport,fwd,red,2067,{},,,4,['edmunds'],3C4NJCAB9JT204496,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCAB9JT204496/,,,
